# Source: https://github.com/AsoSoft/Central-Kurdish-Spelling-dataset/					
Word	Corrected	Dist	Freq	HasSpace	Desc
قامیسلۆ	قامشلۆ	2	1	0	
کۆبونەوەی‌دا	کۆبوونەوەیدا	2	1	0	
لەجنێوو	لە جنێو و	2	1	1	
لەسەربکرێ	لەسەر بکرێت	2	1	1	
لەئۆپەراسیونەکەدا	لە ئۆپەراسیۆنەکەدا	2	1	1	
ملیدانەی	موەلیدانەی	2	1	0	
میسڕیەی	میسرییەی	2	1	0	
وابریاریشە	وا بڕیاریشە	2	1	1	
وونبونیشی	ونبوونیشی	2	1	0	
یەکشەم	یەکشەممە	2	1	0	
ئاشکربوو	ئاشکرا بوو	2	1	1	
ئاڵوەدە	ئالوودە	2	1	0	
ئەشڵێ	دەشڵێت	2	1	0	
تەنها	تەنیا	1	5512	0	
بەڕێوبەرایەتی	بەڕێوەبەرایەتی	1	890	0	
مادەی	ماددەی	1	680	0	
دوێنی	دوێنێ	1	383	0	
قائیمقامی	قایمقامی	1	377	0	
چاوەڕواندەکرێت	چاوەڕوان دەکرێت	1	366	1	
جێبەجێبکرێت	جێبەجێ بکرێت	1	166	1	
سندوقەکانی	سندووقەکانی	1	154	0	
ئۆتۆمبیل	ئۆتۆمبێل	1	124	0	
قۆناغەدا	قۆناخەدا	1	115	0	
ئەستەنبوڵ	ئیستەنبوڵ	1	100	0	
گەیشتونەتە	گەیشتوونەتە	1	95	0	
زانیاریە	زانیارییە	1	75	0	
هاتونەتە	هاتوونەتە	1	62	0	
پێکبهێنن	پێک بهێنن	1	51	1	
ڕێکخست	ڕێک خست	1	50	1	
خوێندنگا	خوێندنگە	1	49	0	
کەمەو	کەمە و	1	46	1	
بخاتەڕوو	بخاتە ڕوو	1	45	1	
سە	سەر	1	45	0	
دوابڕیار	دوا بڕیار	1	42	1	
ئەژماری	هەژماری	1	42	0	
دنیای	دونیای	1	40	0	
لەئەندامانی	لە ئەندامانی	1	39	1	
برە	بڕە	1	37	0	
بنەبڕکردنی	بنبڕکردنی	1	37	0	
گەیشتووەو	گەیشتووە و	1	37	1	
موسوڵمانان	موسڵمانان	1	35	0	
دێتەدەنگ	دێتە دەنگ	1	34	1	
فەیسبوکی	فەیسبووکی	1	34	0	
داواکاریەکەی	داواکارییەکەی	1	33	0	
هندی	هیندی	1	32	0	
هەمویان	هەموویان	1	30	0	
ناڕەزایەتیەکان	ناڕەزایەتییەکان	1	28	0	
تێکداوە	تێک داوە	1	25	1	
داندراوە	دانراوە	1	25	0	
هاتوچۆکردن	هاتووچۆکردن	1	23	0	
تایبەتمەندیەکی	تایبەتمەندییەکی	1	22	0	
فرۆکەکانی	فڕۆکەکانی	1	21	0	
ئەنجومەنەکەیان	ئەنجوومەنەکەیان	1	21	0	
ڕاکێشە	ڕابکێشە	1	20	0	
بدۆزنەوەو	بدۆزنەوە و	1	18	1	
یاساییەکەی	یاسایییەکەی	1	18	0	
ببورن	ببوورن	1	16	0	
بەهێزەو	بەهێزە و	1	15	1	
تۆڕەکۆمەڵایەتییەکان	تۆڕە کۆمەڵایەتییەکان	1	15	1	
ڕاوێژکارو	ڕاوێژکار و	1	15	1	
سازکردووە	ساز کردووە	1	15	1	
لێبگرێت	لێ بگرێت	1	15	1	
ئاشکراشیدەکات	ئاشکراشی دەکات	1	15	1	
چاوەڕێدەکرێت	چاوەڕێ دەکرێت	1	14	1	
داگیرکردووە	داگیر کردووە	1	14	1	
لەفەرمانگەکان	لە فەرمانگەکان	1	14	1	
ئەمنیان	ئەمنییان	1	14	0	
عیراقیشی	عێراقیشی	1	12	0	
بنێرێ	بنێرێت	1	11	0	
بەخانەنشینان	بە خانەنشینان	1	11	1	
جەختکرایەوە	جەخت کرایەوە	1	11	1	
ڕازیە	ڕازییە	1	11	0	
فۆڕمانە	فۆرمانە	1	11	0	
لوسی	لووسی	1	11	0	
ئەنجومەنیش	ئەنجوومەنیش	1	11	0	
بڕیاڕیاندا	بڕیاریاندا	1	10	0	
سونەکان	سوننەکان	1	10	0	
کونسڵی	کونسوڵی	1	10	0	
لەگەندەڵی	لە گەندەڵی	1	10	1	
نیستمانی	نیشتمانی	1	10	0	
تێدانەبێت	تێدا نەبێت	1	9	1	
سوربوون	سووربوون	1	9	0	
گەریلاو	گەریلا و	1	9	1	
گەشتوگوزارو	گەشتوگوزار و	1	9	1	
ئەجندای	ئەجێندای	1	9	0	
بەدزی	بە دزی	1	8	1	
بەزیادەوە	بە زیادەوە	1	8	1	
چڕدەکرێنەوە	چڕ دەکرێنەوە	1	8	1	
ڕاستیەکانی	ڕاستییەکانی	1	8	0	
شوفێرەکەی	شۆفێرەکەی	1	8	0	
ئاڵمانی	ئەڵمانی	1	8	0	
ئامادەدەکرێن	ئامادە دەکرێن	1	8	1	
ئەنجامیداون	ئەنجامی داون	1	8	1	
بەڕێوەچو	بەڕێوەچوو	1	7	0	
پێبکە	پێ بکە	1	7	1	
پێگەیشتبێت	پێ گەیشتبێت	1	7	1	
خویندکاری	خوێندکاری	1	7	0	
دووگیانەو	دووگیانە و	1	7	1	
سەربازییەو	سەربازییە و	1	7	1	
لەدەرەنجامی	لە دەرەنجامی	1	7	1	
ناشرینترین	ناشیرینترین	1	7	0	
ئاشقی	عاشقی	1	7	0	
ئەمریکاییە	ئەمریکییە	1	7	0	
بتڵ	بوتڵ	1	6	0	
پشێویان	پشێوییان	1	6	0	
تەکنەلۆژییەکان	تەکنۆلۆژییەکان	1	6	0	
دواخرابوو	دوا خرابوو	1	6	1	
دەستپێشخەریەکی	دەستپێشخەرییەکی	1	6	0	
لەمێژینە	لە مێژینە	1	6	1	
ناوخۆییانەی	ناوخۆیییانەی	1	6	0	
نایەتەدی	نایەتە دی	1	6	1	
هێرشدەکەنە	هێرش دەکەنە	1	6	1	
ئەنجامیبدەن	ئەنجامی بدەن	1	6	1	
بونیاتنانی	بنیاتنانی	1	5	0	
بەگوللەی	بە گوللەی	1	5	1	
پڕۆژەیەکن	پرۆژەیەکن	1	5	0	
پێدەکەنن	پێ دەکەنن	1	5	1	
جوڵاوە	جووڵاوە	1	5	0	
جیابوومەوە	جیا بوومەوە	1	5	1	
کاربکەیت	کار بکەیت	1	5	1	
لەبنەماڵەی	لە بنەماڵەی	1	5	1	
ماساج	مەساج	1	5	0	
محەویلەیەک	محاویلەیەک	1	5	0	
هەڵوەشێننەوە	هەڵبوەشێننەوە	1	5	0	
وربینی	وردبینی	1	5	0	
بگۆریت	بگۆڕیت	1	4	0	
بنەتۆوی	بنەتۆی	1	4	0	
بێتەئاراوە	بێتە ئاراوە	1	4	1	
بەوبۆنەیەشەوە	بەو بۆنەیەشەوە	1	4	1	
خراوەنەتە	خراونەتە	1	4	0	
دادات	دەدات	1	4	0	
دورودرێژە	دوورودرێژە	1	4	0	
دوومنداڵ	دوو منداڵ	1	4	1	
ڕاگەیەند	ڕاگەیاند	1	4	0	
ڕێکەوتننامەکە	ڕێککەوتننامەکە	1	4	0	
زهنیەتی	زیهنیەتی	1	4	0	
زیادیکردبوو	زیادی کردبوو	1	4	1	
سەیرانگاو	سەیرانگا و	1	4	1	
شارباژێری	شارباژێڕی	1	4	0	
قەرەچووخ	قەرەچووغ	1	4	0	
کادرانە	کادیرانە	1	4	0	
کەمکرابێتەوە	کەم کرابێتەوە	1	4	1	
لەپارکی	لە پارکی	1	4	1	
لەپێشنیازەکانی	لە پێشنیازەکانی	1	4	1	
لەشارێکەوە	لە شارێکەوە	1	4	1	
لەوڵاتێک	لە وڵاتێک	1	4	1	
لەوەها	لە وەها	1	4	1	
مشیر	موشیر	1	4	0	
موچانەیان	مووچانەیان	1	4	0	
مودەریس	مودەڕیس	1	4	0	
ناسەقامگیریە	ناسەقامگیرییە	1	4	0	
نیشتیمانەکەمان	نیشتمانەکەمان	1	4	0	
وادەخوازێت	وا دەخوازێت	1	4	1	
وەرگێڕدراوەتە	وەرگێڕراوەتە	1	4	0	
ئامادەکاریەکی	ئامادەکارییەکی	1	4	0	
ئەنشتاین	ئەنیشتاین	1	4	0	
ئەوەدراوە	ئەوە دراوە	1	4	1	
بنەڕەتیەکان	بنەڕەتییەکان	1	3	0	
بێبەشدەبێت	بێبەش دەبێت	1	3	1	
بەرنادەین	بەر نادەین	1	3	1	
پێدەگرن	پێ دەگرن	1	3	1	
پیشمەرگەش	پێشمەرگەش	1	3	0	
پەیوەندیدارو	پەیوەندیدار و	1	3	1	
تاسەری	تا سەری	1	3	1	
تایبە	تایبەت	1	3	0	
توتنی	تووتنی	1	3	0	
تێبینیە	تێبینییە	1	3	0	
چوارمانگ	چوار مانگ	1	3	1	
داواشدەکەین	داواش دەکەین	1	3	1	
دزەبکەنە	دزە بکەنە	1	3	1	
دورگەیەکی	دوورگەیەکی	1	3	0	
دووکەسەوە	دوو کەسەوە	1	3	1	
دەریاییانەی	دەریایییانەی	1	3	0	
ڕێکخراونەتەوە	ڕێک خراونەتەوە	1	3	1	
ڕەسمییەو	ڕەسمییە و	1	3	1	
سروشتیەی	سروشتییەی	1	3	0	
سەرۆکایەتیە	سەرۆکایەتییە	1	3	0	
سەمونخانەیەکی	سەموونخانەیەکی	1	3	0	
کردونی	کردوونی	1	3	0	
کۆبوونەویەکی	کۆبوونەوەیەکی	1	3	0	
کۆلێجانە	کۆلێژانە	1	3	0	
کۆنتڕۆڵیان	کۆنترۆڵیان	1	3	0	
لێکتێگەشتن	لێکتێگەیشتن	1	3	0	
لەبەڕێوەبەرایەتیی	لە بەڕێوەبەرایەتیی	1	3	1	
لەزێرەڤانی	لە زێرەڤانی	1	3	1	
لەفێستیڤاڵی	لە فێستیڤاڵی	1	3	1	
لەکۆبوونەوەکەیاندا	لە کۆبوونەوەکەیاندا	1	3	1	
لەلیستەکە	لە لیستەکە	1	3	1	
لەهونەرەوە	لە هونەرەوە	1	3	1	
لەهەمووشی	لە هەمووشی	1	3	1	
مێرمنداڵەکەی	مێردمنداڵەکەی	1	3	0	
نوێنەرایەتیە	نوێنەرایەتییە	1	3	0	
هاواڵێکی	هەواڵێکی	1	3	0	
وەریناگرم	وەری ناگرم	1	3	1	
وەستێندرا	وەستێنرا	1	3	0	
یاخیانی	یاخییانی	1	3	0	
ئینتەرپۆڵ	ئینتەرپۆل	1	3	0	
بابەگوڕگوڕو	بابەگوڕگوڕ و	1	2	1	
باروڕۆخی	بارودۆخی	1	2	0	
بوبێتنە	بووبێتنە	1	2	0	
بوزانیشر	بوزانشیر	1	2	0	
بیکەیەن	بیکەین	1	2	0	
بەترسەوە	بە ترسەوە	1	2	1	
بەدو	بەد و	1	2	1	
بەردو	بەرد و	1	2	1	
بەڕیزان	بەڕێزان	1	2	0	
بەڕەوای	بە ڕەوای	1	2	1	
بەسەرتاسەری	بە سەرتاسەری	1	2	1	
بەشداریبکەن	بەشداری بکەن	1	2	1	
بەقەوارەکان	بە قەوارەکان	1	2	1	
پرادۆیەو	پرادۆیە و	1	2	1	
پرۆژی	پرۆژەی	1	2	0	
پڕۆژەکەن	پرۆژەکەن	1	2	0	
پێناکەیت	پێ ناکەیت	1	2	1	
پیاوماقوڵان	پیاوماقووڵان	1	2	0	
تایبەتیشیەوە	تایبەتیشییەوە	1	2	0	
تۆمدا	تۆم دا	1	2	1	
تیرۆرستییەی	تیرۆریستییەی	1	2	0	
جارەسەری	چارەسەری	1	2	0	
جوڵاوەتەوە	جووڵاوەتەوە	1	2	0	
جەماوەی	جەماوەری	1	2	0	
چارەدەکرێت	چارە دەکرێت	1	2	1	
چاکبونەوەی	چاکبوونەوەی	1	2	0	
چاوبگێڕیتەوە	چاو بگێڕیتەوە	1	2	1	
چوارکەسیش	چوار کەسیش	1	2	1	
چەکداریەکە	چەکدارییەکە	1	2	0	
حکومەییەکاندا	حکومییەکاندا	1	2	0	
حەزبکات	حەز بکات	1	2	1	
خاودەبێتەوە	خاو دەبێتەوە	1	2	1	
داب‌ونەریتی	دابونەریتی	1	2	0	
دوکانەکەیدا	دووکانەکەیدا	1	2	0	
دۆزێنەوەی	دۆزینەوەی	1	2	0	
دێرزوور	دێرەزوور	1	2	0	
دەچووی	دەرچووی	1	2	0	
دەردەجێت	دەردەچێت	1	2	0	
دەریبکەن	دەری بکەن	1	2	1	
دەستکەوتبێت	دەست کەوتبێت	1	2	1	
دەستەواژەو	دەستەواژە و	1	2	1	
دەسەڵاتگرتنە	دەسەڵات گرتنە	1	2	1	
دەگێرێتەوە	دەگێڕێتەوە	1	2	0	
دەنووسێ	دەنووسێت	1	2	0	
ڕِابردوو	ڕابردوو	1	2	0	
ڕابوەستێ	ڕابوەستێت	1	2	0	
ڕاییدەکات	ڕایی دەکات	1	2	1	
ڕحیمە	ڕەحیمە	1	2	0	
ڕوبارە	ڕووبارە	1	2	0	
ڕوونکردنەویەکی	ڕوونکردنەوەیەکی	1	2	0	
سپلێتی	سپلیتی	1	2	0	
سپۆڕتی	سپۆرتی	1	2	0	
سویدییەکان	سوێدییەکان	1	2	0	
سەرپێیچی	سەرپێچی	1	2	0	
سەیارەو	سەیارە و	1	2	1	
شوڕشی	شۆڕشی	1	2	0	
فرۆشگەکانی	فرۆشگاکانی	1	2	0	
فەرمانیەران	فەرمانبەران	1	2	0	
قبووڵکرا	قبووڵ کرا	1	2	1	
کاردینال	کاردیناڵ	1	2	0	
کاڕگێڕییەکان	کارگێڕییەکان	1	2	0	
کۆبونەوەکەشی	کۆبوونەوەکەشی	1	2	0	
کۆبونەوەماندا	کۆبوونەوەماندا	1	2	0	
کۆنفراسەکە	کۆنفرانسەکە	1	2	0	
کێبرکێیەکی	کێبڕکێیەکی	1	2	0	
کەباس	کە باس	1	2	1	
کەبەیەکەوە	کە بەیەکەوە	1	2	1	
کەدەستکاری	کە دەستکاری	1	2	1	
کەشناسیەوە	کەشناسییەوە	1	2	0	
کەلەپور	کەلەپوور	1	2	0	
گرتونی	گرتوونی	1	2	0	
گۆرینەوەیە	گۆڕینەوەیە	1	2	0	
گەڕەکیکی	گەڕەکێکی	1	2	0	
گەشتوون	گەیشتوون	1	2	0	
لامەبەستە	لا مەبەستە	1	2	1	
لێکەوتەو	لێکەوتە و	1	2	1	
لەبڕیارەکە	لە بڕیارەکە	1	2	1	
لەپێشوازیی	لە پێشوازیی	1	2	1	
لەجێبەجێ	لە جێبەجێ	1	2	1	
لەگۆڕە	لە گۆڕە	1	2	1	
لەهێرشە	لە هێرشە	1	2	1	
لەیەختەکانی	لە یەختەکانی	1	2	1	
لەیەکترییەوە	لە یەکترییەوە	1	2	1	
ماتۆرەکەیدا	ماتۆڕەکەیدا	1	2	0	
ماکلوم	ماکلۆم	1	2	0	
مامۆستیانیش	مامۆستایانیش	1	2	0	
ماییەی	مایەی	1	2	0	
مناڵبوونی	منداڵبوونی	1	2	0	
مۆڵگەو	مۆڵگە و	1	2	1	
میلەتەکەمانە	میللەتەکەمانە	1	2	0	
مەلەوانیەوە	مەلەوانییەوە	1	2	0	
ناچنەسەر	ناچنە سەر	1	2	1	
ناکرێنەوەو	ناکرێنەوە و	1	2	1	
نوسراوەتەوە	نووسراوەتەوە	1	2	0	
هێرۆئیبراهیم	هێرۆ ئیبراهیم	1	2	1	
هەڵاو	هەڵا و	1	2	1	
وبازرگانی	و بازرگانی	1	2	1	
وتارەکەم	گوتارەکەم	1	2	0	
وتنە	گوتنە	1	2	0	
ورەگرتووە	وەرگرتووە	1	2	0	
ولەلایەن	و لەلایەن	1	2	1	
وناتوانن	و ناتوانن	1	2	1	
ویستگەکە	وێستگەکە	1	2	0	
وەردەگێڕدرێتە	وەردەگێڕرێتە	1	2	0	
وەرزیە	وەرزییە	1	2	0	
ئاشکراشیانکردبوو	ئاشکراشیان کردبوو	1	2	1	
ئالێکس	ئەلێکس	1	2	0	
ئامۆژگاریەکی	ئامۆژگارییەکی	1	2	0	
ئۆپەراسیۆنەکەو	ئۆپەراسیۆنەکە و	1	2	1	
ئۆتومبێلەکەی	ئۆتۆمبێلەکەی	1	2	0	
ئینتیزامیی	ئینتزامیی	1	2	0	
ئەبەستم	دەبەستم	1	2	0	
ئەکەپەوە	ئاکەپەوە	1	2	0	
ئەوانیتردا	ئەوانی تردا	1	2	1	
باسەردانمان	با سەردانمان	1	1	1	
بالیۆزخانە	باڵیۆزخانە	1	1	0	
بتوێنرێتەوەو	بتوێنرێتەوە و	1	1	1	
بحەسێییتەوە	بحەسێیتەوە	1	1	0	
بخەوەن	بخەون	1	1	0	
بڕوبیانو	بڕوبیانوو	1	1	0	
بڕیاردە	بڕیاردەر	1	1	0	
بزوتنەوەکەشم	بزووتنەوەکەشم	1	1	0	
بژیەنن	بژیێنن	1	1	0	
بسوڕێمەوە	بسووڕێمەوە	1	1	0	
بسۆ	بشۆ	1	1	0	
بگەرێیت	بگەڕێیت	1	1	0	
بووجەی	بودجەی	1	1	0	
بۆریەکەدان	بۆرییەکەدان	1	1	0	
بیرهێنایەوە	بیر هێنایەوە	1	1	1	
بیشاوەری	پیشاوەری	1	1	0	
بەرزنرخێنراوە	بەرز نرخێنراوە	1	1	1	
بەرەوپێشی	بەرەو پێشی	1	1	1	
بەناوەکان	بە ناوەکان	1	1	1	
بەنەخۆشییەکانی	بە نەخۆشییەکانی	1	1	1	
پاکەوانێک	پاسەوانێک	1	1	0	
پانێلەکەی	پانێڵەکەی	1	1	0	
پباوان	پیاوان	1	1	0	
پۆلیڤیاش	بۆلیڤیاش	1	1	0	
پێدەدان	پێ دەدان	1	1	1	
پێشخشتنی	پێشخستنی	1	1	0	
پەرلەمانتارەکوردەکان	پەرلەمانتارە کوردەکان	1	1	1	
تارماییە	تارمایییە	1	1	0	
تایبەتمەندیەکان	تایبەتمەندییەکان	1	1	0	
تونێلەکەو	تونێلەکە و	1	1	1	
تۆیا	تۆدا	1	1	0	
تەلەفزیۆنێک	تەلەڤزیۆنێک	1	1	0	
جو	جۆ	1	1	0	
جێ‌نەهێشتووە	جێ نەهێشتووە	1	1	1	
جەستیان	جەختیان	1	1	0	
جەنگدابووبن	جەنگدا بووبن	1	1	1	
چاوەروانتە	چاوەڕوانتە	1	1	0	
چاوەڕوانیانەیان	چاوەڕوانییانەیان	1	1	0	
حاڵەتەداو	حاڵەتەدا و	1	1	1	
حوسەیینیەی	حوسەینیەی	1	1	0	
حەسو	حەسۆ	1	1	0	
خاودەبنەوە	خاو دەبنەوە	1	1	1	
خواوەند	خوداوەند	1	1	0	
خەڵوەنگەی	خەڵوەتگەی	1	1	0	
خەوێندرا	خەوێنرا	1	1	0	
دادوەرکان	دادوەرەکان	1	1	0	
داهاێناوە	داهێناوە	1	1	0	
دزەیش	دزەییش	1	1	0	
دلنیا	دڵنیا	1	1	0	
دڵتا	دڵتدا	1	1	0	
دووگیانیەکەم	دووگیانییەکەم	1	1	0	
دیریکراوەکانی	دیاریکراوەکانی	1	1	0	
دەتواین	دەتوانین	1	1	0	
دەچەشت	دەچێشت	1	1	0	
دەرهێنن	دەربهێنن	1	1	0	
دەرینابڕن	دەری نابڕن	1	1	1	
دەوستێتەوە	دەوەستێتەوە	1	1	0	
ڕابردووهاوسەرگیری	ڕابردوو هاوسەرگیری	1	1	1	
ڕادێۆی	ڕادیۆی	1	1	0	
ڕادیۆناوخۆی	ڕادیۆ ناوخۆی	1	1	1	
ڕاڕای	ڕاڕایی	1	1	0	
ڕوداوەکەین	ڕووداوەکەین	1	1	0	
ڕوسیاوەن	ڕووسیاوەن	1	1	0	
ڕیزبەندیەکانی	ڕیزبەندییەکانی	1	1	0	
ڕەتدکردەوە	ڕەت کردەوە	1	1	1	
زاهیرغەریب	زاهیر غەریب	1	1	1	
زوکێربێرگی	زوکەربێرگی	1	1	0	
زیانیشئ	زیانیشی	1	1	0	
زیندوترین	زیندووترین	1	1	0	
زەمانیەوە	زەمانییەوە	1	1	0	
ژێرپەنجەی	شێرپەنجەی	1	1	0	
سبەینێیەو	سبەینێیە و	1	1	1	
ستاپچات	سناپچات	1	1	0	
سلمێمانیدا	سلێمانیدا	1	1	0	
سلێمنانی	سلێمانی	1	1	0	
سەپێندرابێت	سەپێنرابێت	1	1	0	
شوبهاندووەو	شوبهاندووە و	1	1	1	
شوقەکانەوەو	شوقەکانەوە و	1	1	1	
شێعرەیدا	شیعرەیدا	1	1	0	
شێوەیەیک	شێوەیەک	1	1	0	
عەبدۆڵڵا	عەبدوڵڵا	1	1	0	
فاسۆلیاو	فاسۆلیا و	1	1	1	
فرمێشکی	فرمێسکی	1	1	0	
فەرانبەرەکانی	فەرمانبەرەکانی	1	1	0	
فەڕەنساشی	فەرەنساشی	1	1	0	
قوربانیەک	قوربانییەک	1	1	0	
قوولترین	قووڵترین	1	1	0	
کارگاکەی	کارگەکەی	1	1	0	
کاندیدکانمان	کاندیدەکانمان	1	1	0	
کچەخوێندکارێک	کچە خوێندکارێک	1	1	1	
کردنینان	کردنیان	1	1	0	
کردووبەتی	کردوویەتی	1	1	0	
کڕدەکەوێت	کڕ دەکەوێت	1	1	1	
کلوپ	کلۆپ	1	1	0	
کوردەوایشدا	کوردەواریشدا	1	1	0	
کۆمپانیکان	کۆمپانیاکان	1	1	0	
کۆمنێتێکیدا	کۆمێنتێکیدا	1	1	0	
کۆمەڵایەتیء	کۆمەڵایەتی	1	1	0	
کەدەربازکردنی	کە دەربازکردنی	1	1	1	
کەڕامەتی	کەرامەتی	1	1	0	
گیانفیداییەی	گیانفیدایییەی	1	1	0	
لوتەوە	لووتەوە	1	1	0	
لێهەستا	لێ هەستا	1	1	1	
لێیدەپرسێتەوە	لێی دەپرسێتەوە	1	1	1	
لیتریک	لیترێک	1	1	0	
لەپشکنینەکە	لە پشکنینەکە	1	1	1	
لەتەقەکەرەکان	لە تەقەکەرەکان	1	1	1	
لەخانەوادەیەکی	لە خانەوادەیەکی	1	1	1	
لەکۆمەڵگادا	لە کۆمەڵگادا	1	1	1	
لەکۆمەڵگایەکی	لە کۆمەڵگایەکی	1	1	1	
لەگۆڕستانەکان	لە گۆڕستانەکان	1	1	1	
لەناچاریان	لە ناچاریان	1	1	1	
لەیاریگاکان	لە یاریگاکان	1	1	1	
لەئیفادەکەیدا	لە ئیفادەکەیدا	1	1	1	
