word	lemma	pos	stem	prefixes	base	suffixes	description
دەڵێ	کوتن|وتن	verb	ڵ	دە	ڵێ		present|intransitive|active
دەشڵێ	کوتن|وتن	verb	ڵ	دەش	ڵێ		present|intransitive|active
دەبا	بردن|بوون	verb	ب|ب	دە	با		
ئەبا	بردن|بوون	verb	ب|ب	نە	با		
دەبات	بردن	verb	ب	دە	با	ت	
دەباتە	بردن	verb	ب	دە	با	تە	
دەمباتە	بردن	verb	ب	دەم	با	تە	
نەمبینی	بینین	verb	بین	نەم	بین	ی	past|transitive|active
نەشمبیننەوە	بینین	verb	بین	نەشم	بین	نەوە	
نەشیانبینیبووم	بینین	verb	بین		قرتاند		
قرتاند	قرتاندن	verb	قرت		قرتاند	وویانە	past|transitive|active
قرتاندوویانە	قرتاندن	verb	قرت		قرتاند	وویانە	past|transitive|active
قرتاندوویەتی	قرتاندن	verb	قرت		قرتاند	وویەتی	past|transitive|active
وەستێندراوە	وەستێندران	verb	وەست		وەستێندرا	وە	past|intransitive_passive
وەستاوەتەوە	وەستان	verb	وەست		وەستا	وەتەوە	past|intransitive|active
سووتاندم	سووتاندن	verb	سووت		سووتاند	م	past|transitive|active
دەردەکەوێ	دەرکەوتن	verb	کەو	دەردە	کەو	ێ	present|intransitive|active
دامدەسووتاندن	داسووتاندن	verb	سووت	دامدە	سووتاند	ن	past|transitive|active
کڕیومانە	کڕین	verb	کڕ		کڕی	ومانە	past|transitive|active
کڕیومنەتەوە	کڕین	verb	کڕ		کڕی	ومنەتەوە	past|transitive|active
خواردوومانەتەوە	خواردنەوە	verb	خو		خوارد	وومانەتەوە	past|transitive|active
دیتبووتان	دیتن	verb	دی		دیت	بووتان	past|transitive|active
دامسووتاندبێتن	داسووتاندن	verb	سووت	دام	سووتاند	بێتن	past|transitive|active
نەدەهات	هاتن	verb	هات	نەدە	هات		past|intransitive|active
دیتبایانین	دیتن	verb	دی		دیت	بایانین	past|transitive|active
دیتبایانمەوە	دیتن	verb	دی		دیت	بایانمەوە	past|transitive|active
سووتاندەوە	سووتاندەوە	verb	سووت		سووتاند	ەوە	past|transitive|active
بتسووتاندایە	سووتاندن	verb	سووت	بت	سووتاند	ایە	past|transitive|active
ئەچوو	چوون	verb	چ	نە	چوو		past|intransitive|active
هەڵکەندبوو	هەڵکەندن	verb	کەن	هەڵ	کەند	بوو	past|transitive|active
وەرە	هاتن	verb	هات		وەر	ە	present|intransitive|active
ئەنوێنێ	نواندن	verb	نو	ئە	نوێن	ێ	present|transitive|active
بیندرا	بینین	verb	بین		بین	درا	past|intransitive_passive
بینراون	بینران	verb	بین		بینرا	ون	past|intransitive_passive
چووینەوە	چوون	verb	چ		چوو	ینەوە	past|intransitive|active
بردینییەوە	بردن	verb	ب		برد	ینییەوە	past|transitive|active
دەسووڕانەوە	سووڕانەوە	verb	سووڕ	دە	سووڕا	نەوە	past|intransitive|active
دەسووڕایەوە	سووڕانەوە	verb	سووڕ	دە	سووڕا	یەوە	past|intransitive|active
دەسووڕێت	سووڕان	verb	سووڕ	دە	سووڕ	ێت	present|intransitive|active
دەسووڕێتەوە	سووڕانەوە	verb	سووڕ	دە	سووڕ	ێتەوە	present|intransitive|active
دەسووڕێنەوە	سووڕانەوە	verb	سووڕ	دە	سووڕێن	ەوە	present|transitive|active
دەپرسێت	پرسین	verb	پرس	دە	پرس	ێت	present|intransitive|active
بڵێ	کوتن|وتن	verb	کو|و		بڵێ		present|intransitive|active
ئەفرۆشێت	فرۆشتن	verb	فرۆ	ئە	فرۆش	ێت	present|transitive|active
دەمخوارد	خواردن	verb	خو	دەم	خوارد		past|transitive|active
دەمخواست	خواستن	verb	خواس	دەم	خواست		past|transitive|active
دەمخوێند	خوێندن	verb	خوێ	دەم	خوێند		past|transitive|active
دەمخوێندنەوە	خوێندن	verb	خوێ	دەم	خوێند	نەوە	past|transitive|active
دەمخوێندەوە	خوێندن	verb	خوێ	دەم	خوێند	ەوە	past|transitive|active
دەمراند	مراندن	verb	مر	دە	مراند		past|transitive|active
نەمسووتێنن	سووتاندن	verb	سووت	نەم	سووتێن	ن	present|transitive|active
نەمبینن	بینین	verb	بین	نەم	بین	ن	present|transitive|active
بمبیننەوە	بینین	verb	بین	بم	بین	نەوە	present|transitive|active
نەیانبینییەوە	بینین	verb	بین	نەیان	بین	ییەوە	present|transitive|active
نەیانبینیبووم	بینین	verb	بین	نەیان	بینی	بووم	past|transitive|active
دەمدا	دان	verb	دا				past|transitive|active
