word	corrected_gold	system_suggestions	in_1	in_3	in_above_3
پیکهێنان	پێکهێنان	پێکهێنان,پیکهێنانی,پێکهێنانی,پێکهێنا,پێکهێناو,پیکهینانی,پێهێنان,پێکهێنران,پێکهێنا،,پێکهێنانى	1	1	1
پیکەوە	پێکەوە	detected_correct	0	0	0
پیوێست	پێویست	پیویست,پێوێست,پیوست,پێویست,پەیوەست,پێست,پیویستی,پێوست,وێست,پیست	0	0	1
پیویست	پێویست	detected_correct	0	0	0
پیوەندی	پەیوەندی	detected_correct	0	0	0
پەتەو	پتەو	پتەو,پەتە,پەلەو,پەتاو,پرتەو,پەتەی,نەتەو,پەتەوە,پەرتەو,چەتەو	1	1	1
پەرانپەر	پەڕانپەڕ	بەرانبەر,سەرانسەر,بەرامبەر,سەرانسەری,فەرمانبەر,پەنابەر,پەروەر,پەیامبەر,بەرابەر,بەرانبەری	0	0	0
پەراویز	پەراوێز	detected_correct	0	0	0
پەرسەندن	پەرەسەندن	پەرەسەندن,پەرسەندنی,پەسەندن,پەسەند,پەرەسەندنی,پەسەندی,پەسەندە,پەرەسەندنە,پەرەسەندی,پەرەسەندنه	1	1	1
پەروش	پەرۆش	پەرش,پەرۆش,پەروا,پەراش,هەروا,وەرزش,پەرە,پەخش,سەرو,پەرەی	0	1	1
پەرۆینە	پەڕۆینە	پەرژینە,پەروین,بەرینە,پەرژینی,پەروانە,پەرژین,درۆینە,پەرۆشن,پەرۆشە,بەردینە	0	0	0
پەریشان	پەرێشان	detected_correct	0	0	0
پەریوە	پەڕیوە	بەریوە,پەڕیوە,پەیوە,پەراوە,پەرییە,پەریە,دەرەوە,سەرەوە,خەریکە,پەرە	0	1	1
پەرەپیدان	پەرەپێدان	پەرەپێدان,پەرەپیدانی,پەرەپێدانی,پەرەیان,پەرەدان,پەرەپێدانى,گەشەپیدان,پەرەپێدا,پەرەپێدانە,پەرپێدان	1	1	1
پەلەور	پەلەوەر	detected_correct	0	0	0
پەواوێز	پەراوێز	پەراوێز,پەڕاوێز,پەراوێزی,پەروێز,پەراوێزە,پەراویز,تەواوێک,پەڕاوێزی,پەرواێز,پەراوێزو	1	1	1
پەیامنیر	پەیامنێر	detected_correct	0	0	0
تابا	تەبا	تارا,بابا,تەبا,تاتا,تابۆ,تابان,نابا,تاها,دابا,تابو	0	1	1
تامەزرو	تامەزرۆ	تامەزرۆ,دامەزرا,تامەزرۆی,دامەزراو,تامەزرۆم,دامەزرێ,تامەزرۆن,تامەزرۆوە,تاوەکو,دامەزراوە	1	1	1
تامەزوۆ	تامەزرۆ	تامەزرۆ,تامەزرۆی,تامەزرۆم,تامەزرۆن,تاوەکو,ئارەزوو,دامەزرا,نامەوێ,ئارەزوی,تاوەکوو	1	1	1
ترسنوک	ترسنۆک	detected_correct	0	0	0
ترفە	تریفە	ترە,ترسە,تریفە,ترپە,ترشە,ترکە,تروە,لرفە,ترلە,تفە	0	1	1
ترم	تەم	detected_correct	0	0	0
تروپک	ترۆپک	ترۆپک,تروپکی,گروپی,تورک,گروپە,ترو,گروپه,بروسک,گروپێک,ترۆپکی	1	1	1
تنوک	تنۆک	تنۆک,تووک,نوک,توک,تبوک,نەک,نوێ,تاک,تورک,باوک	1	1	1
توران	تۆران	detected_correct	0	0	0
تومار	تۆمار	detected_correct	0	0	0
توۆپک	ترۆپک	ترۆپک,تۆپی,تورک,تۆپ,وۆرک,ترۆپکی,تۆپە,تنۆک,توپی,تۆپێک	1	1	1
تۆرت	تورد	تۆری,زۆرت,ترت,تۆرا,تۆرێ,تۆیت,کۆرت,فۆرت,شۆرت,قۆرت	0	0	0
تێکوشان	تێکۆشان	detected_correct	0	0	0
تیبێنی	تێبینی	تیبینی,تێبێنی,تێبینی,تیمێکی,تیپێکی,تینی,بێنی,ڕیبێری,تینێکی,تیپێن	0	1	1
تیکۆشان	تێکۆشان	detected_correct	0	0	0
تینو	تینوو	detected_correct	0	0	0
تەمو	تەموو	detected_correct	0	0	0
جماەر	جەماوەر	جار,جەماوەر,ماهر,مار,جگەر,جمال,جابر,مەر,جەمسەر,جمەی	0	1	1
جوتیار	جووتیار	detected_correct	0	0	0
جوراوجور	جۆراوجۆر	detected_correct	0	0	0
جوزەردان	جۆزەردان	جۆزەردان,گوزەران,جۆزەردانی,گوزەریان,وەردان,کوردان,حوزەیران,گوزەرانی,نوسەران,سەردان	1	1	1
جولانە	جۆلانە	جوانە,خولانە,جلانە,جوڵانە,جۆلانە,جولانی,کولانە,جولاند,جولان,جوان	0	0	1
جۆراۆجۆر	جۆراوجۆر	جۆراوجۆر,جۆراجۆر,جۆراوجۆری,جۆراوجۆرە,جۆربەجۆر,جۆراوجۆرن,جۆراجۆری,جۆراوجۆر،,جوراوجۆر,جۆراوجۆرو	1	1	1
جیژوان	جێژوان	جێژوان,ڕیژوان,جیهان,جیاواز,جوان,سیروان,پیاوان,ئیخوان,میوان,جیاوازن	1	1	1
جیگر	جێگر	جێگر,جیگری,جیگیر,دیگر,ڕیگر,جیگە,جیگرێ,جیگا,جیتر,جگە	1	1	1
چاروکە	چارۆکە	چارەکە,چارۆکە,شارەکە,چاکە,چارە,چیرۆکە,کارەکە,چاوە,چرکە,باوکە	0	1	1
چارەرەش	چارەڕەش	چارەڕەش,چارەسەر,چارەیەک,چارەکە,پارەیەش,شارەکەش,پارەکەش,چارەیە,کارەکەش,چارەسەی	1	1	1
چاکا	چاکی	چاک,چاکی,چاکە,کاکا,هاکا,چاکم,چاوا,چاکان,چاکدا,چاکه	0	1	1
چاوتروکاو	چاوترووکان	چاوەروان,چاوتروکانێک,ناوبراو,چاوەڕوان,ئاوارەکان,ئەوروپاو,چاوەروانی,ناتەواو,چاوەکان,چاوەرِوان	0	0	0
چاودیر	چاودێر	detected_correct	0	0	0
چاوەدیری	چاوەدێری	چاوەدێری,چاودیری,چاودێری,چاوەڕیی,چاوەری,چاودیریی,چاوەریی,چاودیر,چاوەدێریی,چاودیَری	1	1	1
چرو	چرۆ	چاو,چوو,ترو,چرا,چو,چڕو,چرۆ,چرچ,چر,درو	0	0	1
چریک	چریکە	detected_correct	0	0	0
چکۆڵە	چکۆلە	detected_correct	0	0	0
چمینەوە	چەمینەوە	چینەوە,مینەوە,چنینەوە,چوینەوە,مانەوە,منەوە,ببینەوە,زمانەوە,بچینەوە,بینەوە	0	0	0
چوپی	چۆپی	چاپی,چەپی,چونی,چۆپی,توپی,چووی,کوپی,چویی,چوی,وپی	0	0	1
چوخە	چۆخە	چووە,چونە,چوە,چومە,چاخە,چوکە,چوتە,وخە,چویە,چونکە	0	0	0
چوک	چۆک	detected_correct	0	0	0
چولەکە	چۆلەکە	خولەکە,جولەکە,چۆلەکە,کولەکە,چونەکە,چونکە,خولەکی,خولەک,چوونکە,چەکە	0	1	1
چوڵگە	چۆلگە	چونگە,چونکە,چووە,چوونە,بەڵگە,چونە,گوڵە,چوومە,جوڵە,کێڵگە	0	0	0
چوم	چۆم	detected_correct	0	0	0
چونیەتی	چۆنیەتی	detected_correct	0	0	0
چووار	چوار	detected_correct	0	0	0
چۆبی	چۆپی	چۆنی,لۆبی,چۆپی,چۆڵی,چۆکی,چۆلی,چۆی,چۆمی,بۆبی,چابی	0	1	1
چۆلکە	چۆلگە	چۆنکە,چۆلەکە,کۆلکە,چیلکە,چۆلە,دۆلکە,چونکە,چاکە,چۆنە,چەمکە	0	0	0
چیاە	چیا	چییە,چیە,چینە,چیای,چیا,چیان,چیاکە,چیاو,چیایە,چیتە	0	0	1
چیروک	چیرۆک	detected_correct	0	0	0
چەشەن	چەشن	چەشن,چەشتن,چەشە,چەشەی,چەمەن,بەشەن,چەشنەن,چەتەن,چەشنن,دەکەن	1	1	1
خاڵخالۆکە	خاڵخاڵۆکە	خاڵخاڵۆکە,جاڵجالۆکە,جاڵجاڵۆکە,خاڵخالان,جالجالۆکە,ساڵانێکە,خاڵانە,خەڵاتەکە,تابلۆکە,خاڵێکە	1	1	1
خانۆێ	خانووی	خانکێ,خانێ,خانمێ,شانۆی,شانۆ,خانەی,خانمە,خانوو,خان,خانم	0	0	0
خریک	خەریک	خەریک,گریک,شریک,کریک,بریک,چریک,خری,"ریک,خۆی,خەڵک	1	1	1
خوریە	خورپە	خوایە,سوریە,خوری,خورپە,خوێیە,حوریە,خودیە,خوردە,خوریی,کوریە	0	0	1
خوزگە	خۆزگە	detected_correct	0	0	0
خومەش	خۆمەش	خولەش,خوەش,خەمەش,خومە,ئەمەش,عومەر,ئێمەش,خزمەت,بەمەش,خولەک	0	0	0
خونۆاندن	خۆنواندن	گونجاندن,خواندن,خنکاندن,خوڵقاندن,خۆنواندن,خولقاندن,خوراندن,خوێندن,خواردن,نواندن	0	0	1
خۆرایی	خۆڕایی	detected_correct	0	0	0
خۆڵقاندن	خوڵقاندن	خوڵقاندن,خۆڵقاندنی,خۆڵقاند,تۆقاندن,خوڵقاندنی,خوڵقاند,خۆنواندن,خولقاندن,خۆژیاندن,خوڵقاندی	1	1	1
خۆنۆاندن	خۆنواندن	خۆنواندن,خنکاندن,خۆناساندن,خۆنواندنی,خۆخنکاندن,خۆژیاندن,خۆیاندا,خۆماندا,تۆقاندن,خۆیانن	1	1	1
خیراکار	خێراکار	خێراکان,فیداکار,جیاکار,خیراتر,زیناکار,بیرکار,خراپکار,خەتاکار,ڕیاکار,پیرامار	0	0	0
خیۆ	خێو	خۆ,خیر,یۆ,لیۆ,خی,جیۆ,ڕیۆ,نیۆ,سیۆ,خیڵ	0	0	0
خەلات	خەڵات	detected_correct	0	0	0
داسپاندن	داسەپاندن	داسەپاندن,ناساندن,داسەپاندنی,چەسپاندن,داشکاندن,داسەپاند,ڕاسپاردن,دڵۆپاندن,دابڕاندن,داستاندا	1	1	1
داهاتو	داهاتوو	detected_correct	0	0	0
دروشانەوە	درەوشانەوە	درەوشانەوە,دروشمانەوە,درەوشانەوەی,دووکانەوە,درانەوە,دروشمەوە,گروپانەوە,درەوشایەوە,وشانەوە,دەکشانەوە	1	1	1
دسپیک	دەسپێک	دایک,سپی,دڵپاک,سپیی,دەسپێک,دیک,پیک,سپیە,سپی",ئۆپیک	0	0	1
دق	دەق	detected_correct	0	0	0
دگمەن	دەگمەن	دەگمەن,دیمەن,دامەن,دەکەن,دەدەن,تەمەن,دەبەن,یەمەن,دیمەنی,دگەل	1	1	1
دنگیلە	دەنگیلە	دیلە,دەنگییە,دڵگیرە,شنگالە,دەنگیە,دەلیلە,نگیە,نیلە,دەخیلە,نگییە	0	0	0
دواپشو	دواپشوو	دواو,دوایش,دووپشک,دواش,دوپشک,دواشی,دواترو,دواوەو,دواشت,دوایشی	0	0	0
دوخ	دۆخ	دوو,دوا,دو,دور,داخ,دۆخ,دوێ,دوی,دوز,دون	0	0	1
دوزینەوە	دۆزینەوە	دۆزینەوە,دزینەوە,دوزینەوەی,دۆزینەوەی,دەبینەوە,بدۆزینەوە,دۆزییەوە,دۆزیەوە,دۆزینەوەو,دینەوە	1	1	1
دیلوک	دیلۆک	دیروک,دیلێک,دیوی,دیوە,دیل,دیلان,دهوک,دیدو,دیلی,دیو	0	0	0
دیمن	دیمەن	دین,دیمەن,دیم,دیتن,دیان,هیمن,دیمان,دیین,دیێن,دینن	0	1	1
دەربرین	دەربڕین	detected_correct	0	0	0
دەستەمو	دەستەمۆ	دەستەو,دەستەمۆ,دەستەم,دەستەی,دەستە,دەستم,ئەستەمە,دەستەوە,ئەستەم,جەستەم	0	1	1
دەسروکە	دەسرۆکە	دەستکە,دەستورە,دەستەکە,دەرکە,دەسکە,دەروە,دەربکە,دەسپێکە,دەورەکە,دەهرێکە	0	0	0
دەسەوەر	دەسەوەرە	دەسەبەر,دەرەوەی,دەرەوە,دەستوور,دەستور,دەستەبەر,دەرەوەو,دەستەوە,کەسەوە,دەرەوەش	0	0	0
دەفەت	دەرفەت	دەرفەت,خەفەت,دەکەت,دەدەت,دەسەت,دەفە,دەڵەت,دەفەی,دەبێت,دەکات	1	1	1
دەلێت	دەڵێت	detected_correct	0	0	0
دەمانەوی	دەمانەوێ	detected_correct	0	0	0
دەمانەۆی	دەمانەوێ	دەمانەی,دەمانەوی,دیمانەی,ئەمانەی,دەمانەوێ,زەمانەتی,دەمانچەی,دەیانەوی,ئەمانەتی,دەقانەی	0	0	1
دەنوینن	دەنوێنن	دەنوێنن,دەتوانن,دەبینن,دەنگیان,دەنووسن,دەڕوانن,دەخوێنن,دەنێین,دەیبینن,دەنوسن	1	1	1
دەواوەتر	دواوەتر	تەواوەتی,واوەتر,گەشاوەتر,بەولاوەتر,درەوشاوەتر,تەواوەتى,تەواوتر,دەوڵەتی,دواتر,دەوڵەت	0	0	0
دەوند	دوند	دەون,دوند,چەند,دەکرد,دەنگ,دەبن,دەوێت,توند,دەبنە,دەوری	0	1	1
دەوەر	دەور	دەور,تەوەر,دەوەن,دەڤەر,داوەر,دەوەرە,دەوار,گەوەر,دەبەر,دەوەری	1	1	1
ڕاستەوخو	ڕاستەوخۆ	detected_correct	0	0	0
ڕاستەۆخو	ڕاستەوخۆ	ڕاستەوخو,ڕاستەوخۆ,ڕاستەو,ڕاستەخۆ,ڕاستەوخۆو,ڕاستگۆو,ڕاستە,ڕاستەوخۆی,ڕاستگۆیی,ڕاستگۆ	0	1	1
ڕاستەۆخۆ	ڕاستەوخۆ	ڕاستەوخۆ,ڕاستەخۆ,ڕاستەوخۆی,ڕاستەوخۆش,ڕاستەخۆی,ڕاستەوخو,ڕاستەوخۆو,ڕاسـتەوخۆ,ڕاستوخۆ,ڕاستەوخۆن	1	1	1
ڕاندوش	ڕاندۆش	ماندوو,ماندو,ڕابردوش,ڕاناوی,ڕانیەش,خانووش,ماندوی,ڕادوێ,ڕاند,ڕفاندوە	0	0	0
ڕاهینەر	ڕاهێنەر	detected_correct	0	0	0
ڕاوستان	ڕاوەستان	ڕاوەستان,ڕاستان,ڕاوستاون,پاکستان,دانوستان,دارستان,داستان,داواتان,ڕاوەستانی,ڕاستن	1	1	1
ڕاوستن	ڕاوەستان	ڕاستن,ڕاخستن,ڕاوەستن,ڕاستی,ڕاست,ڕاستە,ڕاوەستان,ڕاگواستن,ڕاسته,ڕاگرتن	0	0	1
ڕاەهاتن	ڕاهاتن	ڕاهاتن,دەهاتن,نەهاتن,ئەهاتن,ڕەهان,ڕاهاتنی,داهاتن,مانهاتن,ڕاهات,لەهاتن	1	1	1
ڕوالەت	ڕواڵەت	detected_correct	0	0	0
ڕوانگا	ڕوانگە	detected_correct	0	0	0
ڕوانگاە	ڕوانگە	ڕوانگە,ڕوانگای,ڕوانگا,ڕوانگەی,ڕوانینە,ڕوانگەوە,ڕواندا,ڕوانیوە,ڕوانگەیە,ڕوانگەى	1	1	1
ڕوبار	ڕووبار	ڕووبار,ڕوباری,غوبار,ڕوبارە,ڕوبارو,وبار,ڕوبارێ,ڕوبەر,ڕوبات,ڕوباب	1	1	1
ڕوچوون	ڕۆچوون	ڕۆچوون,وچوون,ڕووچوون,ڕوون,چوون,بۆچوون,ڕابوون,دەچوون,سکچوون,نەچوون	1	1	1
ڕوخاو	ڕووخاو	detected_correct	0	0	0
ڕوژوو	ڕۆژوو	ڕۆژوو,ڕەژوو,ڕووو,ڕووی,ڕوو,مێژوو,ڕوون,ڕووت,ڕووەو,ڕووە	1	1	1
ڕوشنبیر	ڕۆشنبیر	detected_correct	0	0	0
ڕولە	ڕۆڵە	detected_correct	0	0	0
ڕووبەروو	ڕووبەڕوو	detected_correct	0	0	0
ڕۆچون	ڕۆچوون	detected_correct	0	0	0
ڕۆچۆون	ڕۆچوون	ڕۆچوون,ڕۆچون,بۆچوون,بۆچون,ڕۆچووە,ڕۆچوونی,ڕۆچوونە,ڕۆچۆتە,ڕۆچوو,ڕۆشتون	1	1	1
ڕێبار	ڕێباز	ڕێبوار,ڕێباز,ڕێبەر,ڕێکار,ڕێدار,زێبار,بێبار,ڕێگای,ڕزگار,ڕێگا	0	1	1
ڕێکوپیک	ڕێکوپێک	ڕێکوپێک,ڕێکوپێکی,تێکوپێک,ڕێکووپێک,ڕێکوپێکە,ڕێکوپێکن,ڕێکەوتی,ڕێکی,ڕێکاری,ڕێوی	1	1	1
ڕێکووپێک	ڕێکوپێک	detected_correct	0	0	0
ڕێنوینی	ڕێنوێنی	detected_correct	0	0	0
ڕیبوار	ڕێبوار	detected_correct	0	0	0
ڕیزانە	ڕێزانە	ڕیحانە,خیزانە,هیزانە,ڕیزان,ڕێزانە,بیزانە,ڕیانە,ڕۆزانە,ڕۆژانە,یانە	0	0	1
ڕیگا	ڕێگا	detected_correct	0	0	0
ڕینووس	ڕێنووس	ڕێنووس,نووس,تینووی,ڕێنووسی,پێنووس,ڕووس,تینوو,ڕێنووسە,سیرووس,بینووە	1	1	1
ڕینوینی	ڕێنوێنی	ڕێنوینی,ڕینوێنی,بینینی,ڕێنوێنی,لینینی,ڕەنگینی,زیوینی,عینوانی,ڕنینی,بینیینی	0	0	1
ڕەسن	ڕەسەن	ڕەسەن,کەسن,ڕەسم,ڕەس,حەسن,بەسن,ڕەشن,ڕەسی,پەسن,ڕەسڵ	1	1	1
زاخو	زاخۆ	detected_correct	0	0	0
زانکو	زانکۆ	detected_correct	0	0	0
زلیوە	زریوە	لیوە,زیوە,زلەوە,لەوە,علیە,لێوە,لیوا,لاوە,نیوە,دیوە	0	0	0
زور	زۆر	detected_correct	0	0	0
زوربە	زۆربە	detected_correct	0	0	0
زێر	زێڕ	detected_correct	0	0	0
زید	زێد	detected_correct	0	0	0
زیندو	زیندوو	detected_correct	0	0	0
زیوین	زێوین	detected_correct	0	0	0
زەڕدەپەڕ	زەردەپەڕ	زەردەپەڕ,زەردەپەڕی,بەدەپە,هەدەپە,زەردەکە,زەڕەیەک,شەڕدەکەن,هەڵدەپەڕن,یەدەپە,زەردەکەی	1	1	1
ژور	ژۆر	detected_correct	0	0	0
ژیلەمو	ژیلەمۆ	ژیلەمۆ,ژیلەمۆی,ژیلە,ژیتەم,عیلمو,ژیلەی,دیلەم,لەو,لەم,فیلمی	1	1	1
ژیلەمۆو	ژیلەمۆ	ژیلەمۆ,ژیلەمۆی,"ژیلەمۆ",لەمەو,سینەماو,دینەمۆی,ژیلە,تیلەکۆ,ژیتەم,دینەمۆ	1	1	1
ساردوسر	ساردوسڕ	ساردوسڕ,ساردو,ساردوسڕی,ساردتر,ساردوو,ساردوسڕە,سەردار,دادوەر,سارد,سەروەر	1	1	1
ساوێلکە	ساویلکە	ساویلکە,ساوێلکەی,ساڵێکە,چاویلکە,ناوێکە,سالێکە,ساویلکەی,ساتێکە,ساویلکەو,سوێسکە	1	1	1
ستاو	شەتاو	detected_correct	0	0	0
سربستی	سەربەستی	سروستی,سربست,سروشتی,دروستی,سەربەستی,سستی,سربی,ساباتی,بستی,کریستی	0	0	1
سرماوەز	سەرماوەز	سەرماوەز,سەرماوەزی,سەماوە,سەرماوە,سەماوەر,سورماوە,سەماوە،,ماوەی,کراوە,لەماوەی	1	1	1
سرودی‌مەن	سروودی‌مان	سعودیەن,سعودیە,سوودمەند,سوودیان,سودمەند,سعودییە,دیمەن,سرودی,سعودیەو,سودیان	0	0	0
